accuracy,f1-score,model,precision,prevalence,recall,specificity,test_time,train_mask,train_ratio,train_time,use_meta
0.9791666666666666,0.9830039028075035,naive_bayes_4,0.9789368104312939,0.6103395061728395,0.9871049304677624,0.9667326732673267,229.56257247924805,"(0, 6480)",1.0,94.27368521690369,False
0.9617283950617284,0.9691695673794133,naive_bayes_4,0.9532893127904133,0.6103395061728395,0.9855878634639696,0.9243564356435644,179.80358743667603,"(0, 6480)",0.05,4.338220119476318,False
0.9344135802469136,0.9452672247263361,naive_bayes_0,0.9807589524318546,0.6208333333333333,0.9122545364156103,0.9706959706959707,182.88181257247925,"(19440, 25920)",0.05,4.367814540863037,False
0.8679012345679012,0.8826754385964911,naive_bayes_1,0.9781287970838396,0.6179012345679012,0.8041958041958042,0.9709208400646203,201.9421501159668,"(12960, 19440)",0.05,4.796884775161743,True
0.9206790123456791,0.9315761448349309,naive_bayes_4,0.9974344355758267,0.6179012345679012,0.8738761238761239,0.9963651050080775,245.81947803497314,"(12960, 19440)",0.5,45.33924460411072,True
0.845679012345679,0.8576715058354683,naive_bayes_4,0.9970218398411648,0.6179012345679012,0.7524975024975025,0.9963651050080775,205.9920036792755,"(12960, 19440)",0.05,4.400274753570557,True
0.9498456790123457,0.9592476489028214,naive_bayes_1,0.9715519431038863,0.6231481481481481,0.9472511144130757,0.9541359541359541,240.31720852851868,"(6480, 12960)",1.0,96.0805811882019,True
0.9469135802469136,0.95618950585838,naive_bayes_1,0.9804126403760773,0.6208333333333333,0.9331344767586378,0.9694749694749695,254.72470331192017,"(19440, 25920)",1.0,94.78259205818176,True
0.9563338990896466,0.9636667094620618,naive_bayes_0,0.9931198729822704,0.6187316772103071,0.9359102244389027,0.9894779441521652,239.56444454193115,"(25920, 32401)",1.0,96.18648219108582,True
0.9703703703703703,0.9762258543833581,naive_bayes_1,0.9565639407910701,0.6103395061728395,0.9967130214917825,0.9291089108910892,222.2630865573883,"(0, 6480)",1.0,96.58177280426025,False
0.9671347014349637,0.9730754645430414,naive_bayes_4,0.9866700845936939,0.6187316772103071,0.9598503740648379,0.9789558883043302,219.54691886901855,"(25920, 32401)",0.5,48.26734709739685,False
0.9452160493827161,0.9531847553738626,naive_bayes_4,0.996141124586549,0.6103395061728395,0.91378002528445,0.9944554455445545,249.17361068725586,"(0, 6480)",1.0,93.74591255187988,True
0.95,0.958408215661104,naive_bayes_4,0.9949360341151386,0.6231481481481481,0.9244675581971273,0.9922194922194922,250.25244641304016,"(6480, 12960)",1.0,96.33746647834778,True
0.9373456790123457,0.9472453222453222,naive_bayes_1,0.9743384121892542,0.6103395061728395,0.9216182048040455,0.961980198019802,232.39017343521118,"(0, 6480)",0.5,45.6800377368927,True
0.9700617283950618,0.9764962442452144,naive_bayes_1,0.9558823529411765,0.6231481481481481,0.9980188211986132,0.9238329238329238,220.69699144363403,"(6480, 12960)",1.0,96.75186157226562,False
0.9353395061728395,0.9458866072581686,naive_bayes_4,0.9794062583578497,0.6179012345679012,0.9145854145854145,0.9689014539579968,190.41521644592285,"(12960, 19440)",0.05,4.29443097114563,False
0.6103395061728395,0.7580258744609488,naive_bayes_3,0.6103395061728395,0.6103395061728395,1.0,0.0,159.44990181922913,"(0, 6480)",0.05,4.39428448677063,False
0.8354938271604938,0.8475400457665905,naive_bayes_4,0.997979117547996,0.6208333333333333,0.7365150385284613,0.9975579975579976,210.10215520858765,"(19440, 25920)",0.05,4.713951587677002,True
0.9702206449621972,0.9763740971967193,naive_bayes_1,0.9588843471988459,0.6187316772103071,0.9945137157107232,0.9307972480777014,225.78147792816162,"(25920, 32401)",1.0,96.16776132583618,False
0.9277777777777778,0.9400461183704842,naive_bayes_1,0.9650184113624408,0.6179012345679012,0.9163336663336663,0.9462843295638126,184.08163118362427,"(12960, 19440)",0.05,4.69631028175354,False
0.9365740740740741,0.9476499808941536,naive_bayes_0,0.975609756097561,0.6231481481481481,0.9212481426448736,0.961916461916462,175.11820578575134,"(6480, 12960)",0.05,4.445570707321167,False
0.9492283950617284,0.957520981278244,naive_bayes_0,0.9962385814078453,0.6208333333333333,0.9217002237136466,0.9943019943019943,248.64183974266052,"(19440, 25920)",1.0,94.71577739715576,True
0.9739197530864198,0.9790192427063936,naive_bayes_2,0.9779265873015873,0.6208333333333333,0.9801143425304499,0.9637769637769638,219.50929498672485,"(19440, 25920)",0.5,47.40384316444397,False
0.38126832278969297,,naive_bayes_3,,0.6187316772103071,0.0,1.0,181.74972009658813,"(25920, 32401)",0.05,4.820712327957153,True
